N,graph_type,graph_params,protocol,alpha,noise_std,p_drop,seed,spectral_gap,convergence_step,final_var,final_range,final_mean,final_l2_error,min_l2_error,elapsed_sec,converged,byzantine_fraction
50,barabasi_albert,{'m': 2},metropolis,0.5,0.0,0.2,0,0.6949686366004972,122,1.877774256003421e-08,0.0009748906049776758,7.457002653051716e-05,9.388871280017106e-07,9.388871280017106e-07,0.03224897384643555,True,0.01
50,barabasi_albert,{'m': 2},metropolis,0.5,0.0,0.2,1,0.6768325855415128,66,4.130365647029901e-08,0.0008623961690471198,0.000744891824905491,2.0651828235149505e-06,2.0651828235149505e-06,0.016752004623413086,True,0.01
50,barabasi_albert,{'m': 2},metropolis,0.5,0.0,0.2,2,0.5478011218310237,100,1.7978421538711918e-08,0.000967821000978607,0.0001125300417674729,8.98921076935596e-07,8.98921076935596e-07,0.02378392219543457,True,0.01
50,barabasi_albert,{'m': 2},metropolis,0.5,0.0,0.2,3,0.6087119122534671,66,4.087621430879779e-08,0.0009852562435649775,0.000982131105840333,2.0438107154398894e-06,2.0438107154398894e-06,0.016395092010498047,True,0.01
50,barabasi_albert,{'m': 2},metropolis,0.5,0.0,0.2,4,0.691503526875351,103,1.6600740105510405e-08,0.0009587539091962411,0.00011248029708754019,8.300370052755203e-07,8.300370052755203e-07,0.024316072463989258,True,0.01
50,barabasi_albert,{'m': 2},metropolis,0.5,0.0,0.2,5,0.7221836561915269,78,3.9224857830735285e-08,0.0008491972504835201,0.000426708589920037,1.961242891536764e-06,1.961242891536764e-06,0.01967310905456543,True,0.01
50,barabasi_albert,{'m': 2},metropolis,0.5,0.0,0.2,6,0.7483008069928987,67,4.590394732976713e-08,0.0009092524925668033,0.0007273258486632747,2.2951973664883565e-06,2.2951973664883565e-06,0.018409013748168945,True,0.01
50,barabasi_albert,{'m': 2},metropolis,0.5,0.0,0.2,7,0.6365742149168413,62,3.5668060705742596e-08,0.0008787754396601644,0.0007353459460250929,1.7834030352871298e-06,1.7834030352871298e-06,0.015716075897216797,True,0.01
50,ring,{},simple_avg,0.5,0.0,0.1,0,0.01577059737104393,1000,7.356036731533694e-05,0.02341117962803807,9.993875907140715,0.003678018365766847,0.003678018365766847,0.20400214195251465,False,0.15
50,ring,{},simple_avg,0.5,0.0,0.1,1,0.01577059737104393,1000,3.352311724823557e-06,0.005245224194178277,9.998817251886496,0.00016761558624117784,0.00016761558624117784,0.18657875061035156,False,0.15
50,ring,{},simple_avg,0.5,0.0,0.1,2,0.01577059737104393,1000,0.012042577460692316,0.28973338327229214,9.908908130320508,0.6021288730346158,0.6021288730346158,0.17630672454833984,False,0.15
50,ring,{},simple_avg,0.5,0.0,0.1,3,0.01577059737104393,720,1.1317189114748594e-07,0.00099452704029801,9.999806910660986,5.658594557374297e-06,5.658594557374297e-06,0.1307086944580078,True,0.15
50,ring,{},simple_avg,0.5,0.0,0.1,4,0.01577059737104393,640,9.573175076875816e-08,0.0009934744857957867,9.999837055782004,4.786587538437908e-06,4.786587538437908e-06,0.11573934555053711,True,0.15
50,ring,{},simple_avg,0.5,0.0,0.1,5,0.01577059737104393,727,1.0453096323252356e-07,0.0009846189825104545,9.999822099283994,5.226548161626178e-06,5.226548161626178e-06,0.13241934776306152,True,0.15
50,ring,{},simple_avg,0.5,0.0,0.1,6,0.01577059737104393,1000,0.022170295777714562,0.3881237993708986,9.867100087249618,1.108514788885728,1.108514788885728,0.18280267715454102,False,0.15
50,ring,{},simple_avg,0.5,0.0,0.1,7,0.01577059737104393,861,9.710858750247408e-08,0.0009838330685489893,9.99982525959058,4.855429375123704e-06,4.8171433548443575e-06,0.1634681224822998,True,0.15
100,erdos_renyi,{'p': 0.2},simple_avg,0.2,0.0,0.2,0,7.4313242396347,43,3.389213596809369e-08,0.0009196855419243422,0.5423994411543706,3.3892135968093695e-06,3.3892135968093695e-06,0.05498361587524414,True,0.01
100,erdos_renyi,{'p': 0.2},simple_avg,0.2,0.0,0.2,1,9.052771156530154,42,3.817443912141175e-08,0.0009843247911601738,0.48070035948335726,3.817443912141175e-06,3.817443912141175e-06,0.04301047325134277,True,0.01
100,erdos_renyi,{'p': 0.2},simple_avg,0.2,0.0,0.2,2,9.5349876797253,45,5.687143885133395e-08,0.0009928238821818036,0.5058095009474076,5.687143885133395e-06,5.687143885133395e-06,0.04676413536071777,True,0.01
